iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
CHN,manufacturing,aluminum,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,234416774.81593776,,annual,,
CHN,manufacturing,aluminum,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,234364684.41951832,,annual,,
CHN,manufacturing,aluminum,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,267364336.5372809,,annual,,
CHN,manufacturing,aluminum,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,262697639.4969391,,annual,,
CHN,manufacturing,aluminum,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,259012265.45248175,,annual,,
CHN,manufacturing,aluminum,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,253976720.4658147,,annual,,
CHN,manufacturing,aluminum,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,277210170.53362525,,annual,,
CHN,manufacturing,aluminum,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,275164721.4123253,,annual,,
CHN,manufacturing,aluminum,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,241111583.5918213,,annual,,
CHN,manufacturing,aluminum,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,191522272.1982128,,annual,,
CHN,manufacturing,aluminum,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,16554471.782926824,,annual,,
CHN,manufacturing,cement,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,1273859999.9575026,,annual,,
CHN,manufacturing,cement,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,1301399999.956584,,annual,,
CHN,manufacturing,cement,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,1258739999.9580069,,annual,,
CHN,manufacturing,cement,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,1207439999.9597185,,annual,,
CHN,manufacturing,cement,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,1263599999.957845,,annual,,
CHN,manufacturing,cement,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,1283579999.957178,,annual,,
CHN,manufacturing,cement,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,1275918480.0,,annual,,
CHN,manufacturing,cement,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,1150200000.0,,annual,,
CHN,manufacturing,cement,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,1150200000.0,,annual,,
CHN,manufacturing,cement,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,1150200000.0,,annual,,
CHN,manufacturing,cement,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,89492131.38396719,,annual,,
CHN,manufacturing,chemicals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,323216731.30860513,,annual,,
CHN,manufacturing,chemicals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,324472596.0014925,,annual,,
CHN,manufacturing,chemicals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,314909109.15838844,,annual,,
CHN,manufacturing,chemicals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,295552558.59261215,,annual,,
CHN,manufacturing,chemicals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,300349394.53801346,,annual,,
CHN,manufacturing,chemicals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,299887665.6111398,,annual,,
CHN,manufacturing,chemicals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,297601845.82695866,,annual,,
CHN,manufacturing,chemicals,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,297721562.73195875,,annual,,
CHN,manufacturing,chemicals,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,282671825.02648807,,annual,,
CHN,manufacturing,chemicals,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,282671825.02648807,,annual,,
CHN,manufacturing,chemicals,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,21605562.16511204,,annual,,
CHN,manufacturing,food-beverage-tobacco,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,99351370.34938297,,annual,,
CHN,manufacturing,food-beverage-tobacco,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,96013660.479191,,annual,,
CHN,manufacturing,food-beverage-tobacco,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,84603854.51279868,,annual,,
CHN,manufacturing,food-beverage-tobacco,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,69919685.15738489,,annual,,
CHN,manufacturing,food-beverage-tobacco,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,65992240.64320779,,annual,,
CHN,manufacturing,food-beverage-tobacco,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,54385602.83931207,,annual,,
CHN,manufacturing,food-beverage-tobacco,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,48501353.21705642,,annual,,
CHN,manufacturing,food-beverage-tobacco,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,48618378.742027454,,annual,,
CHN,manufacturing,food-beverage-tobacco,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,48618378.74202747,,annual,,
CHN,manufacturing,food-beverage-tobacco,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,48618378.74202746,,annual,,
CHN,manufacturing,food-beverage-tobacco,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,4035378.796249804,,annual,,
CHN,manufacturing,glass,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,2376512.183121894,,annual,,
CHN,manufacturing,glass,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,2298374.025005748,,annual,,
CHN,manufacturing,glass,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,2196006.164413699,,annual,,
CHN,manufacturing,glass,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,2133440.91419262,,annual,,
CHN,manufacturing,glass,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,2087170.206489654,,annual,,
