iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
CHN,power,electricity-generation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,3842493700,,annual,,
CHN,power,electricity-generation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,3851695200,,annual,,
CHN,power,electricity-generation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,4082265300,,annual,,
CHN,power,electricity-generation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,4325596400,,annual,,
CHN,power,electricity-generation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,4398954700,,annual,,
CHN,power,electricity-generation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,4453741900,,annual,,
CHN,power,electricity-generation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,4775077200,,annual,,
CHN,power,electricity-generation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,4828995000,,annual,,
CHN,power,electricity-generation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,5090593700,,annual,,
CHN,power,electricity-generation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,5117764100,,annual,,
CHN,power,electricity-generation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,464662100,,annual,,
CHN,power,heat-plants,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,6338676.999999997,,annual,,
CHN,power,heat-plants,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,6085284.0,,annual,,
CHN,power,heat-plants,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,2573096.0,,annual,,
CHN,power,heat-plants,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,2285532.9999999995,,annual,,
CHN,power,heat-plants,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,2311640.0,,annual,,
CHN,power,heat-plants,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,8883362.000000002,,annual,,
CHN,power,heat-plants,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,9366345.999999998,,annual,,
CHN,power,heat-plants,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,9191039.0,,annual,,
CHN,power,heat-plants,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,9191039.0,,annual,,
CHN,power,heat-plants,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,9191039.0,,annual,,
CHN,power,heat-plants,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,765919.9166666666,,annual,,
CHN,power,other-energy-use,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,456144451.0803536,,annual,,
CHN,power,other-energy-use,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,592056329.9097236,,annual,,
CHN,power,other-energy-use,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,663607962.5400676,,annual,,
CHN,power,other-energy-use,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,789769473.297881,,annual,,
CHN,power,other-energy-use,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,887491825.5951283,,annual,,
CHN,power,other-energy-use,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,966548494.0293148,,annual,,
CHN,power,other-energy-use,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,1218438233.6927202,,annual,,
CHN,power,other-energy-use,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,1315571490.3293946,,annual,,
CHN,power,other-energy-use,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,1437544697.5415676,,annual,,
CHN,power,other-energy-use,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,1654679810.8038712,,annual,,
CHN,power,other-energy-use,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,132544194.7761566,,annual,,
