iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
CHN,transportation,domestic-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,53890584.68059374,,annual,,
CHN,transportation,domestic-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,58449777.8693643,,annual,,
CHN,transportation,domestic-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,66094107.32941488,,annual,,
CHN,transportation,domestic-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,72336185.37984288,,annual,,
CHN,transportation,domestic-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,76471697.20951904,,annual,,
CHN,transportation,domestic-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,68833241.1966529,,annual,,
CHN,transportation,domestic-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,80652855.15376644,,annual,,
CHN,transportation,domestic-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,68489879.30564877,,annual,,
CHN,transportation,domestic-aviation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,88361595.50716545,,annual,,
CHN,transportation,domestic-aviation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,90458446.48457548,,annual,,
CHN,transportation,domestic-aviation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,7897478.285042932,,annual,,
CHN,transportation,domestic-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,38029151.88623433,,annual,,
CHN,transportation,domestic-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,45921004.43107321,,annual,,
CHN,transportation,domestic-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,54717805.34653877,,annual,,
CHN,transportation,domestic-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,58569494.84021192,,annual,,
CHN,transportation,domestic-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,64406321.16374304,,annual,,
CHN,transportation,domestic-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,69804129.3088258,,annual,,
CHN,transportation,domestic-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,77913786.42757201,,annual,,
CHN,transportation,domestic-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,86056696.23769173,,annual,,
CHN,transportation,domestic-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,97618503.42164442,,annual,,
CHN,transportation,domestic-shipping,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,96184076.43791217,,annual,,
CHN,transportation,domestic-shipping,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,6358502.596402422,,annual,,
CHN,transportation,international-aviation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,25395167.09972665,,annual,,
CHN,transportation,international-aviation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,27612664.34540073,,annual,,
CHN,transportation,international-aviation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,31440339.018521026,,annual,,
CHN,transportation,international-aviation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,34341809.11972019,,annual,,
CHN,transportation,international-aviation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,34367996.65101989,,annual,,
CHN,transportation,international-aviation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,11908759.781498795,,annual,,
CHN,transportation,international-aviation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,9128184.934540408,,annual,,
CHN,transportation,international-aviation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,10574177.869217498,,annual,,
CHN,transportation,international-aviation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,21199187.33316229,,annual,,
CHN,transportation,international-aviation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,30194700.58758881,,annual,,
CHN,transportation,international-aviation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,2822441.1323122983,,annual,,
CHN,transportation,international-shipping,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,28501472.77587916,,annual,,
CHN,transportation,international-shipping,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,33259487.75433489,,annual,,
CHN,transportation,international-shipping,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,37506140.98904233,,annual,,
CHN,transportation,international-shipping,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,41214731.45427591,,annual,,
CHN,transportation,international-shipping,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,45690733.05303808,,annual,,
CHN,transportation,international-shipping,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,50610588.43940397,,annual,,
CHN,transportation,international-shipping,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,58527461.15253128,,annual,,
CHN,transportation,international-shipping,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,57995190.42714079,,annual,,
CHN,transportation,international-shipping,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,59875374.262624845,,annual,,
CHN,transportation,international-shipping,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,58345600.73734969,,annual,,
CHN,transportation,international-shipping,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,4477924.20370085,,annual,,
CHN,transportation,road-transportation,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,781911918.242457,,annual,,
CHN,transportation,road-transportation,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,790644685.1569542,,annual,,
CHN,transportation,road-transportation,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,807674007.8761173,,annual,,
CHN,transportation,road-transportation,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,884435347.8797196,,annual,,
CHN,transportation,road-transportation,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,872314801.0136753,,annual,,
CHN,transportation,road-transportation,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,829577543.9797337,,annual,,
CHN,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,824779626.2840931,,annual,,
CHN,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,892405670.1683886,,annual,,
CHN,transportation,road-transportation,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,955222477.9188652,,annual,,
CHN,transportation,road-transportation,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,1024113396.6899872,,annual,,
CHN,transportation,road-transportation,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,84357849.4759006,,annual,,
